Description,Ticker,Field ID,Field Mnemonic,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
        Sweden,CUFURDSE Index,PX385,INTERVAL_SUM,Dynamic,,119285.2055,132316.8525,126367.4233,116846.5,134919.5,129829.5,132300.5,131715,126928,113637.5,121814,139514.5,158226.5,166580.5,151011.5
        Finland,CUFURDFI Index,PX385,INTERVAL_SUM,Dynamic,,17297.31649,52025.58181,49806.49619,31358,41148.5,52590,47906.5,47802,44443,45045,45041,60464,69259,62756,60413.5
        France,CUFURDFR Index,PX385,INTERVAL_SUM,Dynamic,,155243.7882,169286.549,170406.0089,171202.5,199482.5,195507,198260.5,189957.5,183642.5,192362,198809.5,196533,206555.5,214261.5,262660
        Greece,CUFURDGR Index,PX385,INTERVAL_SUM,Dynamic,,68891.70201,77843.77238,74177.76349,65568.5,64405.5,62528.5,81242.5,73882.5,58639.5,54373.5,53195,51302.5,49283,48759.5,58436
        Netherlands,CUFURDNL Index,PX385,INTERVAL_SUM,Dynamic,,4456.15931,9806.533969,21251.78492,27699.5,27700.5,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700
        United Kingdom,CUFURDGB Index,PX385,INTERVAL_SUM,Dynamic,,4403.450396,8723.608518,13552.73331,9699.5,11500.5,11500,12015.5,13447.5,14013,13900,13900,18900,31400,46506.5,35912.53938
        Mainland China,CUFURDCN Index,PX385,INTERVAL_SUM,Dynamic,,13714136.31,14192507.12,13715969.1,14488913.5,12829244,12515228,11802293.5,11670444,11356594.5,11151386.5,9747829.5,8902617,7885258.5,7391643,7104665.5
        Indonesia,CUFURDID Index,PX385,INTERVAL_SUM,Dynamic,,196345.6494,197337.0045,185474.5,158488.5,198330.5,239531.5,219316,213494.5,232491.5,239848.5,241934.5,241607.5,212097.5089,200489,185100
        Turkey,CUFURDTR Index,PX385,INTERVAL_SUM,Dynamic,,458604.9769,493723.6621,474122.2517,433290.5,446460,468867,463222.5,458561,467336.5,439149.5,433140.5,428655.5,424469,373918,323635.5
        Iran,CUFURDIR Index,PX385,INTERVAL_SUM,Dynamic,,133860.0423,137905.1358,129097.4333,125426.5,138726.5,132621.5,124028,120805,152412,143133.5,149500,166750,155154,148150,147551.2148
        India,CUFURDIN Index,PX385,INTERVAL_SUM,Dynamic,,475846.8219,552940.5613,495839.4474,420951.5,532687,504859,485313.5,485822.5,474707,437118.5,439170.5,455895,434121.5,459560.5,492268.5
        Japan,CUFURDJP Index,PX385,INTERVAL_SUM,Dynamic,,779148.0237,887526.3444,934235.1334,858784.5,992542,1024683,997976,972689,997483,1072693,996365,984961.5,1003286,1060347,875378
        South Korea,CUFURDKR Index,PX385,INTERVAL_SUM,Dynamic,,577035.7311,635740.8379,616131.6501,632045.5,630485.5,663209,674361,719526.5,714767,750568,720813,722412.5,769700.5,841855.5,917074
        Malaysia,CUFURDMY Index,PX385,INTERVAL_SUM,Dynamic,,245741.8944,275873.2384,235720.6569,175069,207750,224078.5,250566.5,237704,233350.5,190189.5,192462,188991.5,188590,185156.5,195820.7363
        Saudi Arabia,CUFURDSA Index,PX385,INTERVAL_SUM,Dynamic,,168844.6282,128137.6362,107751.7641,120084.5,127302,137291.5,158113,180329.5,188409,179971,159250.5,176992.4533,168342.8335,183267,164561.3719
        Taiwan,CUFURDTW Index,PX385,INTERVAL_SUM,Dynamic,,329950.7622,409280.624,414236.3333,378465,362938,382155.5,497907,507232.5,470858.5,464922,437475.5,432450.5,457188,532485.5,493579
        Thailand,CUFURDTH Index,PX385,INTERVAL_SUM,Dynamic,,315572.457,353821.0964,344889.755,305898.5,361647.5,359180.5,360706,338154,270092,254866.5,247953,240265.5161,227419.562,241920,215341.9415
        UAE,CUFURDAE Index,PX385,INTERVAL_SUM,Dynamic,,314541.6803,365269.4512,293772.8613,272100,296550,302951,317243,259242,206654.5,194756.5,214182.5,152818,149150,134500,81950
        Vietnam,CUFURDVN Index,PX385,INTERVAL_SUM,Dynamic,,311916.5124,293699.5911,256858.9712,258384,259201.5,244779,233398.5,201571,161852,129640,91425.5,89245.5,112053.3747,138648.5,118301.7223
        Australia,CUFURDAU Index,PX385,INTERVAL_SUM,Dynamic,,4403.450396,10774.82935,17760.66165,28300,30798.5,28520,20593,16502.5,18322.5,24386.5,73763,120652.5,119989,136014.5,129990
        South Africa,CUFURDZA Index,PX385,INTERVAL_SUM,Dynamic,,29698.754,32556.28742,29800.8671,33480,38383.5,38299,45115,47904.5,60716,58509,80030.5,80894.5,87944.5,69855,88367.5
        Egypt,CUFURDEG Index,PX385,INTERVAL_SUM,Dynamic,,100626.3753,102897.6655,107566.7226,97900,82214,83293,83996.5,94273,123816,102130.5,107738,135096.5,139267,137400,126351
